Name,Category,ItemType,TrackSerials,SerialPrefix,SerialNextNumber,SerialSuffix,Description,UnitPrice,Markup,IsFixedMarkup,IsTaxInclusivePrice,Cost,SpecialTaxRate,LastVendor,VendorProductCode,VendorPrice,BarCode,ReorderPoint,ReorderQuantity,DefaultLocation,DefaultSublocation,Uom,SalesUom,SalesUomRatio1,SalesUomRatio2,PurchasingUom,PurchasingUomRatio1,PurchasingUomRatio2,ProductLength,ProductWidth,ProductHeight,ProductWeight,Remarks,SKU,Machine S/No,IsActive,,
25mL VOLUMETRIC PIPETTES,KERMEL,Stockable,FALSE,,,,25mL VOLUMETRIC PIPETTES,6600,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
25-OH VITAMN D TOTAL,DIASOURCE,Stockable,FALSE,,,,"25-OH VITAMIN D TOTAL, 96 TEST, KAP1971",376000,549.4545455,FALSE,FALSE,57894.73684,,Diasource ImmunoAssays® S.A.,KAP1971,110,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"2X QPCRMASTERMIX, 12.5ML ",ALLIANCE GLOBAL(AGBL) REAGENTS,Stockable,FALSE,,,,12.5ml,0,,FALSE,FALSE,0,,ALLIANCE GLOBAL,,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
"3 CHANNEL ECG, 3CHANNEL ECG ",DEUTCH SCAN,Stockable,FALSE,,,,"Model: DSE-500
Make: Deutsch Scan
Type: Three Channel ECG Machine
Power Source: AC. 100V –240V/DC.12V3.0A
Rated Freqency: 50Hz/60Hz
Rated Input Power : 60 VA
",0,,FALSE,FALSE,0,,DEUTCH SCAN,DCLSKU1126,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DCLSKU1126,,TRUE,,
3 days application and user maintenance training in sierra leone,BIOGENEX,Stockable,FALSE,,,,"OUR COST ALSO COVERS THE ENGINEER FLIGHT,LOCAL TRANSPORT, HOTEL AND LIVING EXPENSES  ",0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
3 PLY EXTERNAL  PRINTER PAPER,ABOTT,Stockable,FALSE,,,,,9000,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
3 WAY SOLENOID VALVE,Erma,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,DCLSP173,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"3 WAY VALVE, 12 VDC/4W  ",ELITECH SPARE PARTS,Stockable,FALSE,,,,"3 WAY VALVE, 12 VDC/4W. 3366-920",117936,24.78287152,FALSE,FALSE,94512.97166,,Elitech Distribution (Reagents),3366-920,140,DCLSP078,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,pcs.,,1,1,,1,1,,,,,,,,TRUE,,
3.5 ML CUVETTE,Adaltis,Stockable,FALSE,,,,1000 PCS,0,,FALSE,FALSE,0,,Adaltis S.r.l.,,,DCLCCR1316,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
3-00229 AXES Z1-Z2 SENSOR BOARD,Adaltis,Stockable,FALSE,,,,PF00285,0,-100,FALSE,FALSE,322105.2632,,Adaltis S.r.l.,PF00285,612,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
32200  ID 32 C  pack of 25,BioMérieux,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"36 WATT GEL CURING UV LAMP, P/CS  ",SUNSHINE MEDICAL,Stockable,FALSE,,,,P/CS ,0,,FALSE,FALSE,0,,"SunShine Medical Equipment Co., Ltd.",,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,pcs.,,1,1,,1,1,,,,,,,,TRUE,,
4 PLACE PLATE SHAKER,CAPP ,Stockable,FALSE,,,,CRP- 412X,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"4 WAY TEFLON VALVE,   PC   ",SERBIA,Stockable,FALSE,,,,  pc  ,0,,FALSE,FALSE,0,,parts),,0,DCLSP248,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
417951 AST-P636 TEST KIT 20 ,BioMérieux,Stockable,FALSE,,,,VITEK 2 - Suscept.test. 64 Wells - Gram -,54512,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"450ML SINGLE ADULT BLOOD BAGS, 450 ML ",LMB DONO PACK BAG,Stockable,FALSE,,,,"450ML SINGLE ADULT BLOOD BAGS, DP 10103 100 PCS/BOX, WITH ACCESSORIES",8625,1921.204722,FALSE,FALSE,426.7257,,Lmb Technologie GmbH,DP 10103,0.81,DCLCH1012,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,pouch,,1,1,,1,1,,,,,,DP 10103,,TRUE,,
"4D ULTRASOUND MACHINE (Volume, Convex, Linear, Trans-vaginal TVTR PROBE, DICOM, PRINTER 1",EDAN INSTRUMENTS INC,Stockable,FALSE,,,,"Brand: EDAN
Model: LX8
Features and Benefits
Distinctive Design
         21'' tilt-and-swivel, HD wide-screen anti-glare LCD monitor
         10'' touch screen with gesture control user interface
",10400000,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
4ML VACUTAINER FLOURIDE OXALATE,ABOTT,Stockable,FALSE,,,,4 ML FX,0,,FALSE,FALSE,,,ABBOTT POINT OF CARE,42212,0,,0,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,42212,,TRUE,,
5 Volts Relay,CELITRON,Stockable,FALSE,,,,"15900002 
Mini relay, 5 V, DC ",12800,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
50410 API 50 CHL MEDIUM (identification of lactobacillus) 10*10 ML,MT600,Stockable,FALSE,,,,50410 API 50 CHL MEDIUM (identification of lactobacillus) 10*10 ML,9193,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"50430 API 50 CHB/E MEDIUM (identification of bacillus, enterobacteriaceae and vibrionaceae ) 10*10 ML",MT600,Stockable,FALSE,,,,"50430 API 50 CHB/E MEDIUM (identification of bacillus, enterobacteriaceae and vibrionaceae ) 10*10 ML",9193,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"510818  ETEST Fluconazole, 100 Strips",BioMérieux,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"526318  ETEST Amphotericin B, 100 Strips",BioMérieux,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"535708  ETEST Micafungin, 100 Strips",BioMérieux,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
5KV Watts stabilizer,Default Category,Stockable,FALSE,,,,,58000,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
5ML SYRINGE,GENERAL CONSUMABLES,Stockable,FALSE,,,,5ML SRINGE,0,-100,FALSE,FALSE,1500,,ARIBEN LIMITED,,1500,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"6 CHANNEL ECG, 6 CHANNEL/UNIT ",DEUTCH SCAN,Stockable,FALSE,,,,"Model: DSE-1000
Make: Deutsch Scan
Type: Six Channel ECG Machine
Power Source: AC. 100V-240V/DC.12V3.0A
Rated Frequency: 50Hz/60Hz
Rated Input Power: 60 VA
",0,,FALSE,FALSE,0,,DEUTCH SCAN,DCLSKU1125,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DCLSKU1125,,TRUE,,
"8 LAMP PCB,  PC ",APDIA,Stockable,FALSE,,,, pc,0,,FALSE,FALSE,0,,APDIA,11016,0,DCLSP221,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,11016,,TRUE,,
8 VALVE MANIFOLD,HEMONETICS,Stockable,FALSE,,,,Piece,0,,FALSE,FALSE,0,,Haemotec (Pty) Ltd,,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
-80 ULTRA LOW TEMPERATURE FREEZER,SUNSHINE MEDICAL,Stockable,FALSE,,,,MAKE: BIOBASE MODEL: DW- HL328 CAPACITY: 328 L SERIAL NO: 120830152,0,,FALSE,FALSE,0,,"SunShine Medical Equipment Co., Ltd.",,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
80-20000 PRO200 Stand Assembly: ,Pro Scientific,Stockable,FALSE,,,,80-20000 PRO200 Stand Assembly: ,0,-100,FALSE,FALSE,122417.0616,,Proscientific Inc.,8479820080,252,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
