OrderNumber,InventoryStatus,PaymentStatus,Vendor,ContactName,Phone,VendorAddress1,VendorAddress2,VendorCity,VendorState,VendorCountry,VendorPostalCode,VendorAddressRemarks,ShipToCompanyName,ShipToAddress1,ShipToAddress2,ShipToCity,ShipToState,ShipToCountry,ShipToPostalCode,ShipToAddressRemarks,CurrencyCode,ExchangeRate,NonVendorCost,OrderDate,OrderRemarks,Freight,DueDate,DatePaid,AmountPaid,RequestedShipDate,VendorOrderNumber,Location,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,ItemName,ItemDescription,ItemQuantity,ItemQuantityUoM,ItemUnitPrice,ItemDiscount,VendorItemCode,ItemSubtotal,ItemSerials,SpecialTaxRate,IsCancelled,
PO-000081,Unfulfilled,Paid,MARUF,MARUF,8133615231,"AREA 2,",GARKI,Abuja,FCT,Nigeria,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,NGN,1,,11/13/2017 2:20:15 PM,"TERMS

PAYMENT: 10,000.00 ADVANCED PAYMENT. 

BALANCE: 4000.00 AFTER PAYMENT.
JOB COMPLETION: JOB TO BE COMPLETED IN 1 DAY.





VIVIAN OPARA
SUPPLY CHAIN",,11/28/2017 2:20:15 PM,8/30/2018 2:43:39 PM,14000,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Repair,,No Tax,0,0,False,,,True,True,REFILLING OF GAS FOR COLD CENTRIFUGE.,REFILLING OF GAS FOR COLD CENTRIFUGE. R-404 GAS,1,,14000,0 %,R-404,14000,,Taxable,False,
PO-000082,Unfulfilled,Paid,FRIDAY AWAH,FRIDAY AWAH,8033527352,"No. 9 Ahmadu belo Way by Ibrahim Waziri Crescent, ","Gudu, Apo",Abuja,FCT,Nigeria,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,NGN,1,,11/14/2017 11:07:02 AM,"TERMS:

PAYMENT; 18,000.00 ADVANCED PAYMENT.

BALANCE: BALANCE OF 6000 TO BE PAID ON JOB COMPLETION.

COMPLETION:
TO BE COMPLETED ON OR BEFORE 17/11/2017.





VIVIAN OPARA.
SUPPLY CHAIN UNIT.",,11/29/2017 11:07:02 AM,12/4/2017 1:37:50 PM,24000,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Repair,,No Tax,0,0,False,,,True,True,Rapair of all confrence room chairs  and replacement of key engine at conference/laboratory rooms.,repair of conference roon chairs/ replacement of key engine at conference/ laboratory room.,1,,24000,0 %,,24000,,Taxable,False,
PO-000083,Fulfilled,Unpaid,Orphee SA,Filip Ławnicki,"+48 22 751 79 10 (Ext.123)
","19, CH.DU champ des filles
1228 Plan –Les-Ouates",,,"Geneva
",Switzerland.,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/16/2017 12:54:33 PM,"TERMS:

PAYMENT: NET 45 DAYS.
DELIVERY ;' DAP ABUJA.
SHIPPING VIA DHL.




VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,M22/18 BARCODE READER,Barcode reader,10,,45,0 %,005-1099-87-02,450,,Taxable,False,
PO-000084,Fulfilled,Unpaid,Elitech Group B.V (Instruments/spare parts),Anneke te Winkel,+31 313 430 577,"Van Rensselaerweg4, 6956AV
",Spankeren,,,Netherlands,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:00:31 AM,"CURRENCY: EURO
PAYMENT: 90 DAYS.
INCOTERMS: EXWORKS.

PREFERRED FORWARDER: DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-985835,
Fax: +49 (0) 6107-9858-19, 
E-Mail: J.loebig@dwf-airservice.de





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,"SELECTRA PROS FULLY AUTOMATED CHEMISTRY ANALYZER WITH ISE UNIT(NA,K,CL,CO2) ",FULL PACKAGE WITH ISE AND ISE STARTER KIT (6003-542 and 6003-381),17,,15000,0 %,6003-542 and 6003-381,255000,,Taxable,False,
PO-000084,Fulfilled,Unpaid,Elitech Group B.V (Instruments/spare parts),Anneke te Winkel,+31 313 430 577,"Van Rensselaerweg4, 6956AV
",Spankeren,,,Netherlands,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:00:31 AM,"CURRENCY: EURO
PAYMENT: 90 DAYS.
INCOTERMS: EXWORKS.

PREFERRED FORWARDER: DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-985835,
Fax: +49 (0) 6107-9858-19, 
E-Mail: J.loebig@dwf-airservice.de





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True, LAMP 12V-20W ,33380-018,30,,22,0 %,,660,,Taxable,False,
PO-000084,Fulfilled,Unpaid,Elitech Group B.V (Instruments/spare parts),Anneke te Winkel,+31 313 430 577,"Van Rensselaerweg4, 6956AV
",Spankeren,,,Netherlands,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:00:31 AM,"CURRENCY: EURO
PAYMENT: 90 DAYS.
INCOTERMS: EXWORKS.

PREFERRED FORWARDER: DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-985835,
Fax: +49 (0) 6107-9858-19, 
E-Mail: J.loebig@dwf-airservice.de





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,ISE STARTER KIT FOR SELECTRA PROS,ISE STARTER KIT (6003-381),17,,0,0 %,6003-381,0,,Taxable,False,
PO-000085,Fulfilled,Unpaid,Elitech Distribution (Reagents),Odile Chandavoine,+33 2 33 81 21 10,"Zone Industrill,61500",SEES- France,,FRANCE,France,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:21:33 AM,"TERMS:

PAYMENT: WITHN 90DAYS OF RECEIPT OF INVOICE.

DELIVERY: 30 WITHIN 30 DAYS OF RECEIPT OF PO.

C&F: LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,ACID SOLUTION (needle rinse),"1L Acid solution (needle rinse), SLHC-5900-EE",30,btl,37.82,0 %,SLHC-5900-EE,1134.6,,Taxable,False,
PO-000085,Fulfilled,Unpaid,Elitech Distribution (Reagents),Odile Chandavoine,+33 2 33 81 21 10,"Zone Industrill,61500",SEES- France,,FRANCE,France,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:21:33 AM,"TERMS:

PAYMENT: WITHN 90DAYS OF RECEIPT OF INVOICE.

DELIVERY: 30 WITHIN 30 DAYS OF RECEIPT OF PO.

C&F: LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,"ALT/GPT, 8X25 ML ","ALT/GPT, ALSL 0250,8x25 ml",30,,23.74,0 %,ALSL-0250,712.2,,Taxable,False,
PO-000085,Fulfilled,Unpaid,Elitech Distribution (Reagents),Odile Chandavoine,+33 2 33 81 21 10,"Zone Industrill,61500",SEES- France,,FRANCE,France,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:21:33 AM,"TERMS:

PAYMENT: WITHN 90DAYS OF RECEIPT OF INVOICE.

DELIVERY: 30 WITHIN 30 DAYS OF RECEIPT OF PO.

C&F: LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,"AST/GOT 4+1 SL, 8X25 ML ","AST/GOT, ASSL 0250, 8X25 ML",30,,23.14,0 %,ASSL-0250,694.2,,Taxable,False,
PO-000085,Fulfilled,Unpaid,Elitech Distribution (Reagents),Odile Chandavoine,+33 2 33 81 21 10,"Zone Industrill,61500",SEES- France,,FRANCE,France,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:21:33 AM,"TERMS:

PAYMENT: WITHN 90DAYS OF RECEIPT OF INVOICE.

DELIVERY: 30 WITHIN 30 DAYS OF RECEIPT OF PO.

C&F: LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,"CREATININE PAP, 8X28 ML  ","Creatinine PAP SL ,CRSL 0250, 8X25ml",30,,44.06,0 %,CRSL-0250,1321.8,,Taxable,False,
PO-000085,Fulfilled,Unpaid,Elitech Distribution (Reagents),Odile Chandavoine,+33 2 33 81 21 10,"Zone Industrill,61500",SEES- France,,FRANCE,France,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:21:33 AM,"TERMS:

PAYMENT: WITHN 90DAYS OF RECEIPT OF INVOICE.

DELIVERY: 30 WITHIN 30 DAYS OF RECEIPT OF PO.

C&F: LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,"GLUCOSE PAP SL, 12X20 ML ","Glucose PAP SL, GPSL 0250, 12X20 ML",30,,13.79,0 %,GPSL 0250,413.7,,Taxable,False,
PO-000085,Fulfilled,Unpaid,Elitech Distribution (Reagents),Odile Chandavoine,+33 2 33 81 21 10,"Zone Industrill,61500",SEES- France,,FRANCE,France,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:21:33 AM,"TERMS:

PAYMENT: WITHN 90DAYS OF RECEIPT OF INVOICE.

DELIVERY: 30 WITHIN 30 DAYS OF RECEIPT OF PO.

C&F: LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,"ELITROL I, 10X5 ML ","ELITROL I, CONT-0060, 10X5 ML",30,,54.02,0 %,CONT-0060,1620.6,,Taxable,False,
PO-000085,Fulfilled,Unpaid,Elitech Distribution (Reagents),Odile Chandavoine,+33 2 33 81 21 10,"Zone Industrill,61500",SEES- France,,FRANCE,France,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:21:33 AM,"TERMS:

PAYMENT: WITHN 90DAYS OF RECEIPT OF INVOICE.

DELIVERY: 30 WITHIN 30 DAYS OF RECEIPT OF PO.

C&F: LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,"ELITROL II,  10X5 ML ","ELITROL II, CONT-0160, 10X5 ML",30,,60.56,0 %,CONT-0160,1816.8,,Taxable,False,
PO-000085,Fulfilled,Unpaid,Elitech Distribution (Reagents),Odile Chandavoine,+33 2 33 81 21 10,"Zone Industrill,61500",SEES- France,,FRANCE,France,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:21:33 AM,"TERMS:

PAYMENT: WITHN 90DAYS OF RECEIPT OF INVOICE.

DELIVERY: 30 WITHIN 30 DAYS OF RECEIPT OF PO.

C&F: LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,"ELICAL 2, 4X3 ML "," CALI-0550, 4x3 ml",30,,27.55,0 %,CALI-0550,826.5,,Taxable,False,
PO-000085,Fulfilled,Unpaid,Elitech Distribution (Reagents),Odile Chandavoine,+33 2 33 81 21 10,"Zone Industrill,61500",SEES- France,,FRANCE,France,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 11:21:33 AM,"TERMS:

PAYMENT: WITHN 90DAYS OF RECEIPT OF INVOICE.

DELIVERY: 30 WITHIN 30 DAYS OF RECEIPT OF PO.

C&F: LAGOS AIRPORT.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,,,0,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,"CHOLESTEROL SL, 12X20ML   ","CHOLESTEROL SL  12X20ml, CHSL-0250",30,,17.28,0 %,CHSL 0250,518.4,,Taxable,False,
PO-000086,Fulfilled,Paid,SLEE medical GmbH,Maged Benjamin,+30 698 1105 202,"Lise-Meitner-Str. 11
D-55129 Mainz",,,,Germany,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 12:32:08 PM,"TERMS:
PAYMENT: 100% PREPAYMENT
DELIVERY; 4-6 WEEKS AFTER PAYMENT RECEIPT.
SHIPPING TERMS; EX  WORKS.

PREFFERED FORWARDER: DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-985835,
Fax: +49 (0) 6107-9858-19, 
E-Mail: J.loebig@dwf-airservice.de





VIVIAN OPARA.
SUPPLY CHAIN DEPT.",0,,2/14/2018 1:29:41 PM,11808.75,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,"SLEE  TISSUE PROCESSOR MTP, ","Tissue Processor MTP100-230V/50-6Hz. - basic unit-integrated UPS system.-10x reagent beaker(POM,White),2000ml- 1x transport basket-operation manual.(S/N: K 180006)",1,,15150,35 %,11000200,9847.5,,Taxable,False,
PO-000086,Fulfilled,Paid,SLEE medical GmbH,Maged Benjamin,+30 698 1105 202,"Lise-Meitner-Str. 11
D-55129 Mainz",,,,Germany,,,DCL Laboratory Products Ltd,"DCL House, Plot 1299, Fumilayo Ransome Kuti Road","Area 3, P.M.B 690 Garki",Abuja,,Nigeria,PMB 690,,EUR,0.0019,,11/17/2017 12:32:08 PM,"TERMS:
PAYMENT: 100% PREPAYMENT
DELIVERY; 4-6 WEEKS AFTER PAYMENT RECEIPT.
SHIPPING TERMS; EX  WORKS.

PREFFERED FORWARDER: DWF Germany- DWF Air Service GmbH, 
Mörfelder Strasse 111, D-65451
Kelsterbach
Phone: +49 (0) 6107-985835,
Fax: +49 (0) 6107-9858-19, 
E-Mail: J.loebig@dwf-airservice.de





VIVIAN OPARA.
SUPPLY CHAIN DEPT.",0,,2/14/2018 1:29:41 PM,11808.75,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,No Tax,0,0,False,,,True,True,FUME HOOD FOR MTP/MSN,Adjustable transperent fume hood,1,,1270,35 %,11000220,825.5,,Taxable,False,
